fredcode,transform,block
RPI,5,R
W875RX1,5,R
DPCERA3M086SBEA,5,R
CMRMTSPL,5,R
RSAFS,5,N
INDPRO,5,R
IPFPNSS,5,R
IPFINAL,5,R
IPCONGD,5,R
IPDCONGD,5,R
IPNCONGD,5,R
IPBUSEQ,5,R
IPMAT,5,R
IPDMAT,5,R
IPNMAT,5,R
IPMANSICS,5,R
IPB51222S,5,R
IPFUELS,5,R
CUMFNS,2,R
CLF16OV,5,L
CE16OV,5,L
UNRATE,2,L
UEMPMEAN,2,L
UEMPLT5,5,L
UEMP5TO14,5,L
UEMP15OV,5,L
UEMP15T26,5,L
UEMP27OV,5,L
ICSA,5,L
PAYEMS,5,L
USGOOD,5,L
CES1021000001,5,L
USCONS,5,L
MANEMP,5,L
DMANEMP,5,L
NDMANEMP,5,L
SRVPRD,5,L
USTPU,5,L
USWTRADE,5,L
USTRADE,5,L
USFIRE,5,L
USGOVT,5,L
CES0600000007,1,L
AWOTMAN,2,L
AWHMAN,1,L
HOUST,4,R
HOUSTNE,4,R
HOUSTMW,4,R
HOUSTS,4,R
HOUSTW,4,R
PERMIT,4,R
PERMITNE,4,R
PERMITMW,4,R
PERMITS,4,R
PERMITW,4,R
ACOGNO,5,R
AMDMNOx,5,R
ANDENOx,5,R
AMDMUOx,5,R
BUSINVx,5,R
ISRATIOx,2,R
M1SL,6,N
M2SL,6,N
M2REAL,5,R
AMBSL,6,N
TOTRESNS,6,N
NONBORRES,7,N
BUSLOANS,6,N
REALLN,6,N
NONREVSL,6,N
CONSPI,2,R
SP500,5,N
FEDFUNDS,2,N
CP3Mx,2,N
TB3MS,2,N
TB6MS,2,N
GS1,2,N
GS5,2,N
GS10,2,N
AAA,2,N
BAA,2,N
COMPAPFFx,1,N
TB3SMFFM,1,N
TB6SMFFM,1,N
T1YFFM,1,N
T5YFFM,1,N
T10YFFM,1,N
AAAFFM,1,N
BAAFFM,1,N
TWEXMMTH,5,N
EXSZUSx,5,N
EXJPUSx,5,N
EXUSUKx,5,N
EXCAUSx,5,N
WPSFD49207,6,N
WPSFD49502,6,N
WPSID61,6,N
WPSID62,6,N
OILPRICEx,6,N
PPICMM,6,N
CPIAUCSL,6,N
CPIAPPSL,6,N
CPITRNSL,6,N
CPIMEDSL,6,N
CUSR0000SAC,6,N
CUSR0000SAD,6,N
CUSR0000SAS,6,N
CPIULFSL,6,N
CUSR0000SA0L2,6,N
CUSR0000SA0L5,6,N
PCEPI,6,N
DDURRG3M086SBEA,6,N
DNDGRG3M086SBEA,6,N
DSERRG3M086SBEA,6,N
CES0600000008,6,N
CES2000000008,6,N
CES3000000008,6,N
UMCSENTx,2,S
MZMSL,6,N
DTCOLNVHFNM,6,N
DTCTHFNM,6,N
INVEST,6,N
VXOCLSx,1,N
